image_name blink head_pose_yaw_angle head_pose_pitch_angle head_pose_roll_angle left_eye_horizontal_position left_eye_vertical_position right_eye_horizontal_position right_eye_vertical_position
258.jpg False 15.437 -15.581 -4.508 0.14288 0.00183 0.15594 -0.00031
259.jpg False 16.430 -15.795 -4.751 0.14218 0.00995 0.14794 0.00922
260.jpg False 17.204 -15.984 -4.958 0.14404 0.01464 0.14211 0.01248
261.jpg False 17.649 -16.071 -5.166 0.14236 0.01931 0.13677 0.01478
262.jpg False 17.747 -16.100 -5.330 0.14339 0.02394 0.13166 0.01779
263.jpg False 17.572 -16.139 -5.477 0.14352 0.02995 0.13027 0.01770
264.jpg False 17.173 -16.204 -5.601 0.13980 0.03297 0.12703 0.01519
265.jpg False 16.732 -16.261 -5.648 0.13160 0.03658 0.12062 0.01710
266.jpg False 16.350 -16.329 -5.642 0.12167 0.04085 0.11063 0.02353
267.jpg False 16.133 -16.535 -5.610 0.11003 0.04271 0.10062 0.02811
268.jpg False 16.075 -16.905 -5.531 0.10031 0.04597 0.08867 0.03521
269.jpg False 16.155 -17.510 -5.353 0.09521 0.04832 0.07814 0.04156
270.jpg False 16.361 -18.466 -5.130 0.09352 0.04411 0.06941 0.04216
271.jpg False 16.601 -19.773 -4.775 0.09861 0.03504 0.06563 0.03603
272.jpg False 16.782 -21.340 -4.259 0.10618 0.03434 0.06521 0.03069
273.jpg False 16.842 -23.046 -3.641 0.11687 0.03439 0.06800 0.02166
274.jpg False 16.812 -24.763 -2.987 0.13027 0.04269 0.07416 0.02040
275.jpg False 16.615 -26.323 -2.308 0.14486 0.05339 0.08020 0.01779
276.jpg False 16.328 -27.745 -1.668 0.15242 0.05892 0.08246 0.01391
277.jpg False 16.025 -28.974 -1.127 0.15695 0.05347 0.08262 0.00568
278.jpg False 15.743 -30.045 -0.649 0.15679 0.04647 0.07949 -0.00197
279.jpg False 15.452 -30.939 -0.252 0.15321 0.02964 0.07294 -0.02070
280.jpg False 15.198 -31.635 0.033 0.14844 0.01745 0.06633 -0.03442
281.jpg False 14.948 -32.154 0.192 0.14848 0.01432 0.06456 -0.04607
282.jpg False 14.705 -32.481 0.275 0.14920 0.01408 0.06295 -0.05391
283.jpg False 14.459 -32.606 0.256 0.15006 0.00506 0.06534 -0.06091
284.jpg False 14.268 -32.575 0.175 0.14886 -0.00138 0.06168 -0.06644
285.jpg False 14.065 -32.414 0.021 0.14949 -0.01098 0.06391 -0.06831
286.jpg False 13.934 -32.071 -0.182 0.14685 -0.02304 0.06523 -0.06693
287.jpg False 13.903 -31.465 -0.458 0.14378 -0.03490 0.06762 -0.06671
288.jpg False 13.967 -30.473 -0.778 0.13704 -0.04326 0.06402 -0.06460
289.jpg False 13.999 -29.017 -1.172 0.12860 -0.04537 0.06580 -0.05393
290.jpg False 14.038 -27.105 -1.597 0.11338 -0.04334 0.05805 -0.04463
291.jpg False 13.984 -24.778 -2.033 0.09682 -0.03659 0.04417 -0.03330
292.jpg False 13.755 -22.217 -2.500 0.07778 -0.02821 0.03069 -0.02075
293.jpg False 13.353 -19.612 -2.994 0.05860 -0.01377 0.02010 -0.00878
294.jpg False 12.974 -17.185 -3.511 0.04272 -0.00500 0.01245 -0.00177
295.jpg False 12.631 -14.917 -4.011 0.03328 0.00413 0.00891 0.00576
296.jpg False 12.383 -12.910 -4.463 0.02901 0.01295 0.00888 0.01407
297.jpg False 12.261 -11.147 -4.853 0.02820 0.02590 0.00691 0.02607
298.jpg False 12.292 -9.711 -5.158 0.02995 0.03583 0.00183 0.03834
299.jpg False 12.392 -8.572 -5.335 0.03450 0.04542 -0.00464 0.05068
300.jpg False 12.531 -7.839 -5.441 0.03599 0.05066 -0.01162 0.05917
301.jpg False 12.653 -7.491 -5.482 0.03520 0.05282 -0.01686 0.06373
302.jpg False 12.786 -7.572 -5.429 0.03377 0.05012 -0.02127 0.06297
303.jpg False 12.911 -7.922 -5.308 0.03436 0.04687 -0.02040 0.05942
304.jpg False 12.933 -8.437 -5.176 0.03432 0.04437 -0.01829 0.05408
305.jpg False 12.695 -9.000 -4.991 0.03400 0.04254 -0.01230 0.04643
306.jpg False 12.082 -9.517 -4.755 0.03393 0.04381 -0.00917 0.04255
307.jpg False 11.023 -9.843 -4.538 0.03454 0.04731 -0.00688 0.04249
308.jpg False 9.522 -9.980 -4.247 0.03564 0.05244 -0.00689 0.04522
309.jpg True 7.695 -10.111 -3.888 0.03612 0.05872 -0.00858 0.05118
310.jpg True 5.674 -10.321 -3.488 0.03730 0.06339 -0.00719 0.05503
311.jpg True 3.689 -10.514 -3.078 0.03794 0.06415 -0.00013 0.05246
312.jpg False 1.894 -10.768 -2.664 0.03731 0.05801 0.01060 0.04380
313.jpg False 0.406 -11.074 -2.325 0.03621 0.04689 0.02511 0.03090
314.jpg False -0.690 -11.315 -2.039 0.03389 0.03222 0.04141 0.01487
315.jpg False -1.298 -11.415 -1.822 0.03155 0.02724 0.05042 0.00964
316.jpg False -1.483 -11.540 -1.648 0.02822 0.02092 0.05577 0.00594
317.jpg False -1.404 -11.680 -1.524 0.02594 0.01628 0.05885 0.00203
318.jpg False -1.154 -11.862 -1.427 0.02536 0.01433 0.05823 0.00062
319.jpg False -0.860 -11.966 -1.327 0.02688 0.01608 0.05492 0.00310
320.jpg False -0.488 -12.119 -1.242 0.02929 0.01195 0.05171 0.00220
321.jpg False -0.033 -12.249 -1.201 0.03338 0.01079 0.04749 0.00358
322.jpg True 0.336 -12.335 -1.124 0.03459 0.02095 0.04124 0.01405
